title,price,condition,review,city,date,href
"MacBook Air 2014, 13"", 4gb ,128 GB",230 €,Būklė: naudota,"Macbook Air 2014, 13"", 4GB RAM, Hard disk 128 GB. Dual core Intel core I5, 1.4 ghz. Naudotas, bet geros būklės, yra tik keli nežymūs įbrėžimai, pakrovimo laidas yra. Akumuliatorius laiko gerai, 455 ciklai.",Vilnius,prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-2014-13-quot-4gb-128-gb-56694735.html
"Naujas MacBook Pro 13, M1 8gb 256gb SSD +garantija",1 099 €,Būklė: nauja,"Parduodamas naujas MacBook Pro 13 M1, 8GB, 256GB SSD, Space Gray spalvos su pratęsta 1m. garantija. Supakuotas, iš iDeal.
Nesiunčiu. Kaunas arba Klaipėda.","Kaunas, ...",prieš 2 d.,https://skelbiu.lt//skelbimai/naujas-macbook-pro-13-m1-8gb-256gb-ssd-garantija-56887227.html
MacBook Pro 13 256 GB 2017,770 €,Būklė: naudota,"MacBook Pro 13"", 256 GB, 2017 metu modelis, pirktas Telia. Puikios buklės, prižiūrėtas, naudotas ofiso darbui. Yra pakuotė ir pakrovėjas. Mažas įkrovimų ciklų skaičiuos (Cycle Count 192).",Vilnius,prieš 49 min.,https://skelbiu.lt//skelbimai/macbook-pro-13-256-gb-2017-56386719.html
"MacBook pro 13-inch, 2017 128gb",600 €,Būklė: naudota,"Parduodamas prižiūrėtas ir tik darbui word, excel programomis naudotas Macbook pro 13-inch, 2017 128GB.

Kompiuterio stovis puikiai matomas nuotraukose.
Kartu su kompiuteriu pridedama dėžė, pakrovėjas.",Vilnius,prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-2017-128gb-56910555.html
"Apple MacBook Pro 13"" (TB) M1, 16gb, 512gb + extra",1 590 €,Būklė: naudota,"Parduodu birželio 18 d. pirktą Apple MacBook Pro 13"" (Touch Bar) M1, 16GB, 512GB su 12 mėn. garantija.
Prie kompiuterio taipogi yra pridedami:
Satechi USB-C 5 Multiport Passthrough Space Gray adapteris
Rankų darbo veltinio ir natūralios...",Vilnius,rugpjūčio 19 d.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-quot-tb-m1-16gb-512gb-extra-56733303.html
MacBook Pro 13-inch 128gb 2017,750 €,Būklė: naudota,"Parduodamas Apple firmos labai mažai naudotas kompiuteris. Veikia puikiai, visa informacija pateikta nuotraukose. Jokių defektų neturi. 
Daugiau reikalingos informacijos telefonu.",Vilnius,prieš 2 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-128gb-2017-56888037.html
"Parduodu MacBook Pro 15"" retina Mid 2015 16 GB",590 €,Būklė: naudota,"Paduodu MacBook Pro 15"" retina Mid 2015  
RAM 16 GB 
SSD 250 GB

Baterija laiko normaliai.
Viskas veikia. 
Pridedu nešiojimo dėklą.

Geriausias visų laikų laptopas. Puikus pasirinkimas darbui ir studijoms.",Vilnius,rugpjūčio 20 d.,https://skelbiu.lt//skelbimai/parduodu-macbook-pro-15-retina-mid-2015-16-gb-56787337.html
MacBook Air 2015,300 €,Būklė: naudota,Tvarkingas kompiuteris. Naudojosi mergina. Visuomet buvo saugojamas. Turi šiek tiek pabraižymų. Parametrai matomi nuotraukose. Įrašyta macOS Big Sur operacinė sistema. Kaina 300 EUR.,"Kaunas, ...",prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-2015-56871763.html
MacBook Air 13-inch 256gb (su garantija),699 €,Būklė: naudota,"Parduodamas prižiūrėtas Macbook Air 13-inch 2017 kompiuteris su vidine 256 GB atmintimi. Pradinė pirkimo kaina siekė beveik 1400 Eur. 

Macbookas pirktas 2018 metais, papildomai įsigyta 2 metų garantija, kuri gedimo atveju padėtų išvengti...","Vilnius, ...",prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-13-inch-256gb-su-garantija-56891895.html
"MacBook air mree2ze/a su dokument, i5 8gb RAM 120s",750 €,Būklė: naudota,"Macbook air 13,3 mree2ze/a su dokumentais, i5 1,6gHZ 8gb ram 120SSD intel UHD 617. Stovis labai geras, Baterija gera.  Taikos pr 101. Siunčiame

 Brangiausiai imame užstatui auksą Klaipėdoje. Nuolat skoliname pinigus už užstatą. Darbo Grafikas...","Klaipėda, ...",prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-air-mree2ze-a-su-dokument-i5-8gb-ram-120s-56873405.html
Puikus MacBook Pro 15 Retina i7 16gb su garantija,670 €,Būklė: naudota,"Parduodutuvė Market7 parduoda:

Techniškai ir vizualiai tvarkingas Apple Macbook Pro 15"" Mid2015 (A1398) Retina su garantija 

Intel Core i7 2.2 GHz (turbo boost up to 3.4GHz) x4 branduoliai
16 GB RAM
256 GB Flash (SSD)
15.4 colių,...","Kaunas, ...",prieš 9 val.,https://skelbiu.lt//skelbimai/puikus-macbook-pro-15-retina-i7-16gb-su-garantija-55695531.html
"Apple MacBook Pro 13-inch ""Core i5"" 1.4 2020",850 €,Būklė: naudota,"Parduodamas naudotas, tačiau idealios buklės Apple Macbook Pro 13, 2020 metų modelis, Silver (sidabrinės) spalvos su Touch Bar.

Kompiuteris vizualiai atrodo kaip naujas, neturiu jokių naudojimo žymių.

Garantija iki December 28, 2021
...",Vilnius,rugpjūčio 16 d.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-inch-core-i5-1-4-2020-56746879.html
"MacBook Air 13.3"" Retina, M1 8c Cpu, 8gb, 256gb",800 €,Būklė: naudota,"Pirktas prieš du mėnesius iš istore.lt, pabuvojo poroje kelionių, daugiau nebereikalingas. Labai saugotas, būklė identiška naujam, nėra nei vieno įbrėžimo, kadangi laikytas firminiam dėkle taip pat iš istore Red Ant, kurį irgi pridedu.
Kompas:...",Vilnius,prieš 2 d.,https://skelbiu.lt//skelbimai/macbook-air-13-3-retina-m1-8c-cpu-8gb-256gb-56872135.html
Apple MacBook Pro 13 A1278 su 256gb SSD,250 €,Būklė: naudota,"Parduodu spartaus veikimo Apple Macbook 13 A1278 nešiojamą kompiuterį. Puikiai tiks darbui, mokslams ar kasdieninėms užduotims atlikti. 
Duomenys:
256gb SSD 
8GB RAM
NVidia GeForce 9400M vaizdo plokštė
El Capitan operacinė sistema
Licenzijuotas...","Kaunas, ...",prieš 1 min.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-a1278-su-256gb-ssd-52608613.html
Apple MacBook 13 Black A1181,100 €,Būklė: naudota,"Parduodami išskirtiniai Apple nešiojami kompiuteriai. Puikiai tiks teksto redagavimui, nesunkiems darbams atlikti ar filmų žiūrėjimui. Buvo naudojami biure.
Yra galimybė surašyti reikiamas programas darbui.

Kompiuterių duomenys:
1. Macbook 13...","Kaunas, ...",prieš 2 min.,https://skelbiu.lt//skelbimai/apple-macbook-13-black-a1181-56145845.html
"MacBook i5 2.3 GHz, 6 GB RAM ,120 GB SSD, intel HD",189 €,Būklė: naudota,"1) Kompiuterio modelis- Macbook Pro 2011 Early,13 inch.
2) Procesorius -Intel® Core i5 2.3 Ghz
3) Vaizdo plokštė - Intel® HD Graphics 3000
4) Operatyvioji atmintis - 6 gb 1333 Mhz DDR3
5) Kietasis diskas - Kingston 120 GB SSD
6) Įkroviklis ...",Plungės r.,prieš 6 min.,https://skelbiu.lt//skelbimai/macbook-i5-2-3-ghz-6-gb-ram-120-gb-ssd-intel-hd-56027227.html
Parduodamas Apple iPad pro 11 (2018) + klaviatūra,700 €,Būklė: naudota,"Parduodamas puikios būklės Apple iPad pro 11 (2018) 64gb, space gray
Naudotas nedaug. Be jokių defektų ar įbrėžimų. Pridedama originali Apple klaviatūra. Pilna komplektacija.",Vilnius,prieš 10 min.,https://skelbiu.lt//skelbimai/parduodamas-apple-ipad-pro-11-2018-klaviatura-55370109.html
"Parduodu iMac 27"" mid 2011",430 €,Būklė: naudota,"Parduodu nenaudojama imac.Veikia viskas kaip priklauso,klaviatura ir pele komplekte.Trakai-Rykantai-Vilnius.",Vilnius,prieš 16 min.,https://skelbiu.lt//skelbimai/parduodu-imac-27-mid-2011-56445287.html
"MacBook Pro Touchbar 13.3, 2018, i5, 8 GB, 256gb",740 €,Būklė: naudota,"Parduodu metus naudotą MacBook Pro kompiuterį. 

Kompiuterio apatinė korpuso dalis yra pabraižyta (žr. paveikslėlį).

Garantinis remontas kompiuteriui nebuvo atliktas.

13,3 - inch 2018m.
2,3 GHz keturių branduolių Intel Core i5 procesorius
8GB...",Vilnius,prieš 24 min.,https://skelbiu.lt//skelbimai/macbook-pro-touchbar-13-3-2018-i5-8-gb-256gb-55868163.html
title,price,condition,review,city,date,href
MacBook Air 2017,400 €,Būklė: naudota,"Procesorius- 1.8 ghz intel core i5.
 RAM:  8GB  DDR3.
SSD: 128GB.
Vaizdo plokste - Intel HD graphics 6000 1536Mb.
313 krovimo ciklai.
Ekranas 13 coliu.
iOS:  macOS Big SurVersion 11.3.1

Daugiau pasiulymu: https://kamilsatkovski.wixsite...",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-air-2017-56748635.html
"Naujas Apple MacBook Pro 16"" 512gb",1 640 €,Būklė: nauja,"Visiškai naujas, neišpakuotas, 1 metų apple garantija

MacBook Pro 16"" (Touch Bar) Retina su True Tone technologija/Intel Core i7 2.6GHz šešių branduolių (Turbo Boost iki 4.5GHz)/16GB/512GB SSD/Radeon Pro 5300M 4GB GDDR6",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/naujas-apple-macbook-pro-16-quot-512gb-55956585.html
"MacBook Pro (16-inch, 2019)",1 450 €,Būklė: naudota,,Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-pro-16-inch-2019-56767485.html
Parduodu keiciu puiku mac air 2012 su OS catalina,150 €,Būklė: naudota,"Keisciau i zaidimu kompa,Ledines bukles islaikytas kompiuteris i5 4gb ram intel4000 graphics
128gb ssd m2",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/parduodu-keiciu-puiku-mac-air-2012-su-os-catalina-56826629.html
Perkame Apple Kompiuterius,690 €,Būklė: naudota,"Perkame įvairių modelių Apple nešiojamus ir planšetinius kompiuterius. 
Kaina priklauso nuo kompiuterio modelio,parametru,metu,bukles.
Susisiekite su mumis ir mes jums pasiulysime didziausia kaina.

TAIP PAT SKUBIAI PRIREIKUS PINIGU TEIKIAME...","Palanga, ...",prieš 1 val.,https://skelbiu.lt//skelbimai/perkame-apple-kompiuterius-46258739.html
MacBook 12 2017 Rose Gold 256gb,690 €,Būklė: naudota,"Parduodu puikiai išlaikytą, kompaktišką bei lengvą Macbook 12. Kompiuteris puikiai tinkantis mokslams ar darbui
Duomenys:
Intel Core m3 1.2GHz (Turbo Boost up to 3.0GHz)
8GB RAM
Intel HD Graphics 615 1536MB
256gb SSD
12-inch Retina ekranas
Labai...","Kaunas, ...",prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-12-2017-rose-gold-256gb-51591415.html
"Apple MacBook Pro 13"" 2019m., i5 2.4 GHz, 256 SSD",950 €,Būklė: naudota,"Parduodamas idelaus stovio Macbook 13 Pro Retina,
su Touchbar. Labai mazai naudotas 
2019 m., 256 GB SSD,
Procesorius i5 2.4 Ghz.
Baterijos krovimo ciklai 58.
Visi originalus priedai kas buvo perkant nauja (pakrovejas, usb kabelis), dezute.",Kaunas,prieš 1 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-2019m-i5-2-4-ghz-256-ssd-56929553.html
Apple MacBook Air 2017,490 €,Būklė: naudota,"Parduodamas mažai naudotas macbook air 2017m. Procesorius: i5, 8gb RAM, 128 ssd. Baterijos ciklai: 48.",Kaunas,prieš 1 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-2017-56929505.html
MacBook Air 13 M1 2020,880 €,Būklė: nauja,"Nauji Macbook nešiojami kompiuteriai.

MacBook Air 13-inch 2020 M1 (A2337) 8CPU/7GPU/8GB/256GB.        880€

MacBook Air 13-inch 2020 M1 (A2337) 8CPU/8GPU/16GB/256GB       1080€

MacBook Pro 13-inch 2020 M1 (A2338) 8CPU/8GPU/8GB/512GB     ...",Kaunas,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-air-13-m1-2020-56804661.html
Naujas 2020 MacBook Pro 13 8gb/512gb,1 150 €,Būklė: nauja,"Naujas supakuotas (Europa) MacBook Pro 13-inch A2338 2020
M1 chip/SLV/8C CPU/8C GPU/8GB/512GB
Tarptautine 12men garantija",Kaunas,prieš 1 val.,https://skelbiu.lt//skelbimai/naujas-2020-macbook-pro-13-8gb-512gb-56766521.html
Nuolat perkame Apple MacBook,305 €,Būklė: naudota,"Nuolat perkame Apple Macbook nešiojamus kompiuterius, PRO ir Air. Siūlome geriausias kainas rinkoje. 

Pagal susitarimą galima atvykti iki Jūsų namų Vilniaus mieste.

Perkame kompiuterius tik be defektų, nesenesnius nei 2012 metų",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/nuolat-perkame-apple-macbook-32032535.html
MacBook Air 2015 13-inch,305 €,Būklė: naudota,"Parduodamas labai gerai veikiantis Macbook kompiuteris. 
Defektu jokiu nėra, veikia labai greitai. 
Baterija laiko apie 4val gal ir ilgiau.
Pridedamas originalus pakrovėjas. 
Visi duomenys matosi nuotraukose.
Kaina derinama",Vilnius,prieš 2 val.,https://skelbiu.lt//skelbimai/macbook-air-2015-13-inch-56218817.html
MacBook Air 2017,410 €,Būklė: naudota,"Parduodu Macbook Air 2017 metu, būklė itin gera. Visada saugotas, prižiūrėtas kompiuteris.

Viskas veikia gerai, defektu nėra. Pridedamas originalus pakrovėjas.

Specifikacijos: i5 procesorius, 8GB Ram, 128GB SSD kietasis diskas. 

Jeigu...",Vilnius,prieš 2 val.,https://skelbiu.lt//skelbimai/macbook-air-2017-56572883.html
MacBook Air 2015 metu,300 €,Būklė: naudota,"Parduodu Macbook Air 2015 metu. Kompiuteris labai geros būklės saugotas ir prižiūrėtas. 
Defektu jokiu nėra, galėsit viska tikrinti.

Baterija laiko 4val. Specifikacijos:
i5 procesorius, 128GB SSD diskas, 4GB Ram. Puikii tiks darbui, mokslui,...",Vilnius,prieš 2 val.,https://skelbiu.lt//skelbimai/macbook-air-2015-metu-56745729.html
Apple MacBook Pro 13-inch,1 200 €,Būklė: nauja,"Naujas tik išpakuotas buvo kad patikrinti ar veikia, tai puikiai veikiantis  modelis A2338. 8C CPU 8C GPU 8GB IR KITI PARAMETRAI yra ant nuotraukos",Vilnius,prieš 2 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-inch-56321031.html
"Tvarkingas,nesubraižytas iMac (27-inch, Mid 2011)",499 €,Būklė: naudota,"Tvarkingas,nesubraižytas iMac (27-inch, Mid 2011) i7 ssd 500 GB sukasi greitai kaip pridera.",Palanga,prieš 2 val.,https://skelbiu.lt//skelbimai/tvarkingas-nesubraizytas-imac-27-inch-mid-2011-54483361.html
Apple MacBook Air 13 8gb 256gb 2020 naujas,650 €,Būklė: nauja,"Naujas, nenaudotas, pakeistas garantinio į naują.


Aktyvuota 12 mėn apple garantija.

1 krovimo ciklas

Kompiuteris ir pakrovėjas.","Vilnius, ...",prieš 2 val.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-8gb-256gb-2020-naujas-56502851.html
Apple MacBook Pro 2011,175 €,Būklė: naudota,"Parduodu nešiojamą kompiuterį Apple Macbook Pro 2011 13 colių. Naudotas bet viskas veikia idealiai. Baterija laiko, naudojimo žymių nėra. Parduodamas su pakrovėju.
Siunčiu.","Mažeikių r., ...",prieš 2 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-2011-54610617.html
Nupirkčiau MacBook Pro / Air,260 €,Būklė: naudota,"Nupirkčiau naudotą vekiantį MacBook  pro/air
naujus / naudotus / su icloud / su defektais  nuo 2015m.

Jeigu rašot SMS ar e. laišką nurodykit modelį (pvz. Pro/Air MPXV2B/A), stovį (kokios problemos), komplektaciją ir norimą kainą. 

Šiauliai, ...","Šiauliai, ...",prieš 2 val.,https://skelbiu.lt//skelbimai/nupirkciau-macbook-pro-air-23349131.html
Mac mini (2012 Late),260 €,Būklė: naudota,"Parduodamas Apple Mac Mini Late 2012

macOS Catalina
Mac mini (Late 2012)
Processor 2,5Ghz Dual-Core Intel Core i5
Memory 8GB 1600Mhz DDR3
Startup Disk 480GB Macintosh SSD
Graphics Intel HD Graphics 4000 1536MB

Įrašyta Microsoft Office 2019,...",Kaunas,prieš 2 val.,https://skelbiu.lt//skelbimai/mac-mini-2012-late-56802343.html
Perku Apple MacBook Pro nešiojamąjį kompiuterį,1 070 €,Būklė: naudota,"perku Apple MacBook pro 
Mūsų darbo laikas darbo dienomis 9:00 - 19:00, o savaitgaliais 9:00 - 19:00 

Tel. nr. +37067927271 

Mus rasite: Sausio 15g. - 3, Klaipėda",Klaipėda,prieš 2 val.,https://skelbiu.lt//skelbimai/perku-apple-macbook-pro-nesiojamaji-kompiuteri-20460036.html
"Nauji Apple MacBook Pro 13"" M1 256gb",1 070 €,Būklė: nauja,"Nauji, neišpakuoti, 1 metų apple garantija, space gray arba silver spalvos

13.3"" Retina su True Tone technologija Touch Bar M1 8C CPU/8GB/256GB/8C GPU",Vilnius,prieš 2 val.,https://skelbiu.lt//skelbimai/nauji-apple-macbook-pro-13-m1-256gb-56780159.html
Apple MacBook Pro 13 inch,150 €,Būklė: naudota,"Macbook Pro 13 inch , Mid 2009 A1278 + pakrovejas irašyta mac os Catalina ssd diskas 80 gb bukle gera icloud išjungtas.","Kaunas, ...",prieš 2 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-inch-56903871.html
MacBook air i5 2015,200 €,Būklė: naudota,"Parduodu savo vienos naudotą, saugotą macbook air i5 2015 metų nešiojamąjį kompiuterį, kompiuteris techniškai tvarkingas, be laido laiko gan ilgai. Kompiuterį visuomet saugojau ir mylėjau, naudotas mokslams, filmams ir karts nuo karto pasižaisti...",Švenčionių r.,prieš 3 val.,https://skelbiu.lt//skelbimai/macbook-air-i5-2015-56928079.html
title,price,condition,review,city,date,href
MacBook air,140 €,Būklė: naudota,"Pakrovejas,ipakavimo deze,ssd",Utenos r.,prieš 3 val.,https://skelbiu.lt//skelbimai/macbook-air-56826223.html
Perkame veikiancius ir neveikiancius,2 000 €,Būklė: naudota,"Superkame visa Aplle produkcija,naujus,naudotus,veikiancius ,neveikiancius ,sudauzytus is uzsienio savartynu,sulietus vandeniu ,naujus ir naudotus.
Taip pat Samsung,Huawei,Xiaomi.
Pasiulymus galite siusti : el. Pastu,viber,facebook,WhatsApp
...",Klaipėda,prieš 3 val.,https://skelbiu.lt//skelbimai/perkame-veikiancius-ir-neveikiancius-41376151.html
Perkame veikiancius ir neveikiancius,2 000 €,Būklė: naudota,"Aplle produkcijos supirkimas naujus,naudotus,perkame veikiancius ir neveikiancius aplle kompiuterius,plansetes,telefonus ir kita iranga.",Klaipėda,prieš 3 val.,https://skelbiu.lt//skelbimai/perkame-veikiancius-ir-neveikiancius-40591057.html
"Superkame Naujus, Naudotus,sugedusius,taisome,lt",2 000 €,Būklė: naudota,"LOMBARDAS VISA PARA KALVARIJU 59A (PRIE KALVARIJU TURGAUS) tel.: 865639993.LOMBARDAI VILNIUJE,VISA PARA.PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE,LOMBARDAS-PALUKANOS NUO 2%.PINIGU...","Vilnius, ...",prieš 3 val.,https://skelbiu.lt//skelbimai/superkame-naujus-naudotus-sugedusius-taisome-lt-32376167.html
"MacBook Pro 13.3"" 2020 metu 2ghz i5, 32gb, 1tb SSD",2 000 €,Būklė: naudota,"Sukciai, kurie nori nupirkti siandien per kurjeri - galite neskambinti. Schema yra zinoma.

Rimtiems pirkejams:

Pirktas iDeale, labai mazai naudotas.
Bukle kaip naujo. Viskas veikia. Yra iDeal pirkimo dokumentas.
Apple garantija iki 2021.09.08....","Klaipėda, ...",prieš 3 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-3-2020-metu-2ghz-i5-32gb-1tb-ssd-55547769.html
"MacBook pro 13 Inch, 128gb, 2017 (No touch bar)",575 €,Būklė: naudota,"MacBook Pro 13 Inch, 128GB, 2017 (No touch bar version)

Pirktas naujas is Apple 2018 metu gale. Naudojausi beveik 3 metus.
Viskas puikiai veikia. Būsena 9.5/10 (Žiūrėti nuotraukas).
Nebuvo niekas keista. 
Baterija laiko apie 4-5 valandas. 
Eina...",Klaipėda,prieš 3 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-128gb-2017-no-touch-bar-56927495.html
Apple MacBook pro 13 a1278 ekrano stiklas,25 €,Būklė: naudota,"Parduodamas Apple MacBook pro 13 a1278 ekrano priekinis stiklas

I kitus miestus galimas siuntimas.
Issamesne informacija telefonu: +370 608 3 2 343",Vilnius,prieš 3 val.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-a1278-ekrano-stiklas-46531075.html
Naujas MacBook 16 i9 2.3ghz/16gb/1tb SSD gray,2 040 €,Būklė: nauja,"Visiskai naujas, gamykliskai supakuotas ir nenaudotas MacBook Pro 16 Retina su Touch Bar EC i9 2.3GHz/16GB/1TB SSD/Radeon Pro 5500M 4GB/Space Gray spalvos, kompiuteriui galioja tarptautine Apple 12 menesiu garantija aptarnaujama iDeal servisu","Kaunas, ...",prieš 3 val.,https://skelbiu.lt//skelbimai/naujas-macbook-16-i9-2-3ghz-16gb-1tb-ssd-gray-56476135.html
